,ticker,society_n,society_p,jobs_n,jobs_p,taxes_n,taxes_p,societal_infrastructure_n,societal_infrasctucute_p,societal_stability_n,societal_stability_p,equality_human_rights_n,eqality_human_rights_p,environment_n,environment_p,ghg_emission_n,ghg_emission_p,non_ghg_emission_n,non_ghg_emission_p,scarcenatural_resources_n,scarce_natural_resources_p,bidodiversity_n,biodiversity_p,waste_n,waste_p,millennials,most_wanted_workforce,society_first,knowledge_first,health_first,net_impact_ratio,health_n,health_p,physical_diseases_n,physical_diseases_p,mental_diseases_n,mental_diseases_p,nutrition_n,nutrition_p,relationships_n,relationships_p,meaning_joy_n,meaning_joy_p,knowledge_n,knowledge_p,knowledge_infrastructure_n,knowledge_infrastructure_p,creating_knowledge_n,creating_knowledge_p,distributing_knowledge_n,distributing_knowledge_p,scarce_human_capital_n,scarce_human_capital_p
31,CPRT,-0.01,2.5,0.0,0.79,0.0,1.2,0.0,0.51,-0.01,0.0,-0.0,0.0,-2.45,0.88,-2.11,0.09,-0.1,0.46,-0.02,0.0,-0.05,0.0,-0.16,0.33,0.344,-0.017,-0.017,0.143,0.3389999999999999,0.098,-0.06,0.38,-0.05,0.0,-0.0,0.0,0.0,0.0,-0.0,0.04,-0.01,0.34,-1.21,0.37,0.0,0.03,0.0,0.04,-0.0,0.3,-1.21,0.0
32,XRAY,-0.04,3.05,0.0,1.33,0.0,1.52,0.0,0.13,-0.0,0.01,-0.04,0.06,-1.33,0.25,-0.66,0.0,-0.06,0.24,-0.03,0.0,-0.02,0.0,-0.56,0.01,0.584,0.353,0.353,0.0139999999999999,0.4379999999999999,0.507,-1.01,4.06,-0.99,3.1,-0.01,0.74,0.0,0.0,-0.01,0.03,-0.0,0.19,-1.31,0.13,0.0,0.0,0.0,0.13,-0.0,0.0,-1.31,0.0
33,DXCM,-0.0,2.4,0.0,0.91,0.0,1.4,0.0,0.06,-0.0,0.0,-0.0,0.02,-0.6,0.0,-0.31,0.0,-0.01,0.0,-0.01,0.0,-0.0,0.0,-0.27,0.0,0.763,0.6970000000000001,0.6970000000000001,0.4429999999999999,0.6809999999999999,0.7609999999999999,-0.05,4.63,-0.04,3.88,-0.0,0.23,0.0,0.0,-0.0,0.02,-0.0,0.51,-1.06,0.13,0.0,0.05,0.0,0.08,-0.0,0.0,-1.06,0.0
34,DISCA,-0.01,2.78,0.0,0.7,0.0,1.66,0.0,0.0,-0.0,0.41,-0.01,0.02,-0.3,0.01,-0.15,0.01,-0.01,0.0,-0.01,0.0,-0.01,0.0,-0.12,0.0,0.508,0.1939999999999999,0.1939999999999999,0.297,0.715,0.348,-2.02,1.93,-1.02,0.16,-0.1,0.04,0.0,0.0,-0.81,0.7,-0.08,1.02,-1.82,1.65,0.0,0.44,0.0,0.54,-0.0,0.67,-1.82,0.0
35,DISH,-0.07,2.63,0.0,0.75,0.0,1.44,0.0,0.04,-0.07,0.39,-0.0,0.02,-0.96,0.02,-0.43,0.02,-0.04,0.0,-0.02,0.0,-0.01,0.0,-0.46,0.0,0.46,0.1689999999999999,0.1689999999999999,0.222,0.7140000000000001,0.278,-0.98,0.8,-0.59,0.14,-0.07,0.03,0.0,0.0,-0.23,0.25,-0.09,0.39,-1.51,1.44,0.0,0.5,0.0,0.16,-0.0,0.78,-1.51,0.0
36,DLTR,-0.01,2.48,0.0,1.44,0.0,0.83,0.0,0.2,-0.01,0.0,-0.01,0.01,-1.52,0.05,-0.6,0.05,-0.17,0.0,-0.1,0.0,-0.05,0.0,-0.6,0.0,0.419,0.093,0.093,0.2319999999999999,0.115,0.241,-0.2,0.7,-0.18,0.15,-0.0,0.01,0.0,0.08,-0.0,0.04,-0.01,0.42,-0.74,0.03,0.0,0.0,0.0,0.01,-0.0,0.02,-0.74,0.0
37,EBAY,-0.04,2.13,0.0,0.63,0.0,1.05,0.0,0.44,-0.03,0.0,-0.01,0.0,-1.43,0.21,-0.82,0.1,-0.11,0.07,-0.04,0.0,-0.05,0.0,-0.41,0.04,0.373,0.102,0.102,0.188,0.562,0.2,-0.1,0.58,-0.09,0.13,-0.01,0.01,0.0,0.01,-0.0,0.09,-0.01,0.35,-1.29,0.66,0.0,0.02,0.0,0.05,-0.0,0.58,-1.29,0.0
38,EA,-0.11,4.31,0.0,0.87,0.0,3.02,0.0,0.16,-0.06,0.16,-0.05,0.1,-1.17,0.02,-0.48,0.02,-0.08,0.01,-0.04,0.0,-0.02,0.0,-0.56,0.0,0.302,-0.146,-0.146,0.069,0.461,0.109,-3.85,3.69,-2.27,0.18,-0.08,0.05,0.0,0.0,-0.93,1.83,-0.57,1.63,-3.23,1.36,0.0,0.07,0.0,1.28,-0.0,0.01,-3.23,0.0
39,ENPH,-0.07,3.39,0.0,0.78,0.0,1.49,0.0,1.09,-0.06,0.02,-0.01,0.01,-2.42,0.98,-1.2,0.59,-0.47,0.33,-0.15,0.0,-0.17,0.01,-0.43,0.05,0.479,0.195,0.195,0.278,0.6970000000000001,0.264,-0.45,0.2,-0.32,0.08,-0.06,0.01,0.0,0.01,-0.03,0.05,-0.04,0.05,-1.62,1.62,0.0,0.14,0.0,1.1,-0.0,0.37,-1.62,0.0
40,EQIX,-0.1,3.42,0.0,1.01,0.0,1.89,0.0,0.4,-0.09,0.08,-0.01,0.04,-1.09,0.08,-0.73,0.06,-0.12,0.02,-0.05,0.0,-0.04,0.0,-0.15,0.0,0.409,0.215,0.215,0.204,0.715,0.268,-0.36,0.46,-0.16,0.07,-0.08,0.02,0.0,0.0,-0.08,0.24,-0.04,0.12,-3.01,2.26,0.0,1.43,0.0,0.34,-0.0,0.5,-3.01,0.0
41,EXC,-0.09,4.56,0.0,0.88,0.0,1.17,0.0,2.5,-0.08,0.01,-0.02,0.0,-3.44,2.91,-0.77,2.27,-0.58,0.53,-0.46,0.0,-0.31,0.0,-1.32,0.11,0.563,0.28,0.28,0.47,0.375,0.368,-0.23,0.12,-0.13,0.1,-0.06,0.0,0.0,0.0,-0.01,0.0,-0.02,0.01,-1.17,0.21,0.0,0.04,0.0,0.14,-0.0,0.03,-1.17,0.0
42,EXPD,-0.01,4.38,0.0,0.7,0.0,1.29,0.0,2.37,-0.0,0.0,-0.0,0.03,-1.5,0.05,-0.94,0.03,-0.16,0.02,-0.02,0.0,-0.02,0.0,-0.36,0.01,0.603,0.4,0.4,0.598,0.43,0.472,-0.04,0.13,-0.04,0.05,-0.0,0.03,0.0,0.0,-0.0,0.02,-0.0,0.03,-0.93,0.13,0.0,0.0,0.0,0.11,-0.0,0.02,-0.93,0.0
43,FFIV,-0.08,4.65,0.0,0.98,0.0,2.35,0.0,0.16,-0.07,1.14,-0.0,0.01,-0.83,0.03,-0.52,0.02,-0.07,0.01,-0.03,0.0,-0.02,0.0,-0.19,0.0,0.4639999999999999,0.327,0.327,0.359,0.727,0.366,-0.16,0.49,-0.07,0.05,-0.03,0.01,0.0,0.0,-0.04,0.05,-0.02,0.39,-3.96,2.76,0.0,2.54,0.0,0.16,-0.0,0.07,-3.96,0.0
44,FB,-1.5,3.92,0.0,0.86,0.0,1.86,0.0,0.08,-1.48,0.97,-0.02,0.16,-0.66,0.03,-0.41,0.02,-0.04,0.0,-0.02,0.0,-0.01,0.0,-0.19,0.01,0.417,0.155,0.155,0.312,0.721,0.352,-4.23,7.14,-1.16,0.35,-0.82,0.16,0.0,0.02,-1.04,5.06,-1.2,1.56,-3.02,3.42,0.0,0.24,0.0,0.03,-0.64,3.15,-2.38,0.0
45,FAST,-0.01,2.36,0.0,1.03,0.0,1.06,0.0,0.25,-0.01,0.01,-0.0,0.0,-1.32,0.06,-0.65,0.04,-0.17,0.02,-0.03,0.0,-0.07,0.0,-0.41,0.0,0.293,-0.042,-0.042,0.067,0.091,0.094,-0.1,0.27,-0.09,0.21,-0.0,0.0,0.0,0.0,-0.0,0.01,-0.01,0.05,-1.11,0.13,0.0,0.11,0.0,0.01,-0.0,0.01,-1.11,0.0
46,FITB,-0.07,3.25,0.0,0.71,0.0,1.23,0.0,1.18,-0.03,0.07,-0.04,0.06,-0.55,0.03,-0.33,0.02,-0.09,0.0,-0.02,0.0,-0.03,0.0,-0.08,0.01,0.472,0.305,0.305,0.472,0.485,0.387,-0.14,0.3,-0.09,0.07,-0.02,0.01,0.0,0.01,-0.02,0.08,-0.02,0.13,-1.7,0.44,0.0,0.12,0.0,0.04,-0.0,0.28,-1.7,0.0
47,FISV,-0.02,3.94,0.0,0.96,0.0,1.71,0.0,1.14,-0.01,0.05,-0.01,0.08,-0.43,0.01,-0.28,0.01,-0.04,0.0,-0.01,0.0,-0.01,0.0,-0.09,0.0,0.2769999999999999,0.0969999999999999,0.0969999999999999,0.326,-0.023,0.207,-0.05,0.25,-0.03,0.01,-0.01,0.0,0.0,0.0,-0.01,0.05,-0.01,0.19,-2.98,0.19,0.0,0.17,0.0,0.0,-0.0,0.01,-2.98,0.0
48,FTNT,-0.04,4.62,0.0,0.98,0.0,2.11,0.0,0.11,-0.04,1.4,-0.0,0.01,-0.77,0.03,-0.48,0.02,-0.06,0.01,-0.02,0.0,-0.01,0.0,-0.2,0.0,0.527,0.409,0.409,0.442,0.762,0.4429999999999999,-0.1,0.61,-0.06,0.05,-0.02,0.01,0.0,0.0,-0.02,0.09,-0.0,0.47,-3.65,2.92,0.0,2.84,0.0,0.02,-0.0,0.06,-3.65,0.0
49,FOX,-0.04,3.3,0.0,0.79,0.0,1.67,0.0,0.02,-0.03,0.79,-0.01,0.02,-0.42,0.02,-0.19,0.01,-0.02,0.0,-0.01,0.0,-0.01,0.0,-0.2,0.0,0.511,0.176,0.176,0.297,0.7390000000000001,0.326,-2.5,1.79,-1.46,0.12,-0.13,0.03,0.0,0.0,-0.73,0.55,-0.18,1.1,-1.92,2.13,0.0,0.3,0.0,0.54,-0.01,1.29,-1.91,0.0
50,GILD,-0.25,2.14,0.0,0.57,0.0,1.23,0.0,0.24,-0.03,0.06,-0.22,0.04,-1.99,0.04,-0.74,0.02,-0.26,0.01,-0.16,0.0,-0.12,0.0,-0.71,0.01,0.629,0.472,0.472,-0.41,0.64,0.602,-0.71,8.16,-0.67,7.16,-0.03,0.7,0.0,0.0,-0.0,0.0,-0.0,0.3,-1.39,0.54,0.0,0.0,0.0,0.54,-0.0,0.0,-1.39,0.0
